#Time	June	Oct	Mar
57911	0.780232971	0.777827656	0.770995933
57942	0.780234265	0.777828179	0.770998321
57982	0.780243944	0.777829953	0.771044144
58066	0.780245866	0.777837822	0.771055024
58105	0.780246042	0.777844316	0.771058756
58114	0.780246201	0.777853098	0.771059588
58143	0.78024781	0.777853169	0.771060275
58147	0.780258134	0.77785527	0.771074454
58154	0.780259331	0.777858162	0.771077898
58155	0.780261764	0.777861908	0.771079974
58202	0.780266114	0.777861928	0.771081447
58210	0.780272454	0.777863096	0.771094028
58363	0.780275448	0.777866201	0.771095697
58378	0.780291998	0.777866835	0.771109951
58394	0.780307359	0.777867287	0.771159285
58500	0.7803547	0.777867962	0.771160092
58503	0.780357739	0.777871141	0.771163793
58543	0.780357804	0.77787369	0.771166499
58551	0.780363765	0.777873779	0.771166648
58576	0.780418138	0.777879235	0.771166955
58608	0.780430406	0.777879556	0.77117226
58640	0.780430429	0.777879978	0.771174574
58671	0.780505238	0.777880961	0.771175639
58676	0.780509243	0.777881383	0.771176044
58686	0.780509269	0.777881744	0.771187794
58739	0.780509805	0.777884364	0.771190384
58776	0.780510134	0.777885358	0.771191437
58778	0.780510585	0.777887762	0.77119305
58813	0.780515702	0.777889085	0.7711958
58831	0.780519133	0.777889176	0.77120002
58849	0.780521876	0.777889245	0.771204452
58851	0.780562899	0.777904996	0.771206784
58877	0.780566847	0.777906558	0.771209486
58931	0.780570855	0.777906891	0.771215722
58954	0.780571127	0.777907595	0.771217658
59031	0.780577768	0.777907686	0.77121887
59115	0.780619461	0.777908125	0.771221305
59132	0.780619749	0.777916939	0.771237796
59144	0.780648883	0.777919362	0.77123945
59158	0.780649196	0.777919798	0.771239869
59173	0.78065498	0.777920276	0.771272072
59180	0.780655074	0.777920771	0.771272141
59199	0.780656341	0.777920959	0.771279401
59206	0.780660724	0.777931424	0.771288006
59208	0.780686674	0.777931984	0.771290046
59213	0.780699778	0.77794576	0.7712903
59231	0.780727386	0.777950419	0.771290579
59236	0.780728061	0.77795411	0.771294482
59239	0.780728746	0.777956534	0.771294561
59257	0.780732722	0.777957302	0.771294577
59306	0.780733177	0.777957823	0.771294722
59327	0.78074867	0.777959018	0.771302109
59346	0.780749222	0.777965037	0.771303868
59354	0.780750902	0.77798315	0.771303995
59372	0.780751657	0.777983683	0.771305898
59386	0.780757037	0.777987705	0.7713179
59415	0.780757381	0.77798848	0.771318381
59419	0.78075813	0.777989216	0.77131857
59422	0.780770926	0.777990335	0.771320497
59428	0.780788073	0.777991172	0.771327494
59439	0.780788718	0.778013306	0.77134986
59441	0.780789061	0.778013983	0.771351116
59465	0.780790048	0.778014289	0.771355411
59527	0.780793143	0.778015135	0.771355977
59581	0.780793209	0.778017564	0.771360734
59648	0.780795583	0.778026497	0.771373819
59704	0.780799471	0.778029342	0.771387286
59720	0.780888476	0.778033161	0.771390903
59745	0.780892917	0.778039932	0.771408869
59805	0.780900602	0.778050661	0.771413209
59850	0.780905018	0.778051115	0.771418379
59853	0.780907242	0.778052346	0.771423068
59925	0.780908922	0.778054252	0.771429595
59965	0.780910868	0.778054899	0.771436914
59986	0.780919691	0.778057011	0.771439598
60000	0.780920594	0.778057575	0.771447637
60010	0.780921382	0.778062993	0.771451201
60071	0.780924494	0.778063163	0.771460769
60078	0.780930545	0.778063573	0.771464915
60096	0.78093107	0.778063776	0.771469093
60138	0.780956714	0.778065108	0.771469742
60172	0.780958903	0.778065965	0.771473622
60349	0.780961104	0.778090394	0.771491114
60368	0.780964492	0.778092005	0.771502536
60425	0.780970998	0.778092197	0.771502668
60439	0.780973109	0.778092214	0.771514472
60479	0.780992357	0.778092358	0.77151738
60484	0.780993327	0.778092957	0.771517446
60605	0.781000959	0.778094433	0.771523664
60677	0.781003557	0.778113757	0.771528327
60680	0.781016631	0.778128506	0.771532616
60700	0.781033726	0.778134897	0.771534858
60704	0.781038883	0.778141609	0.771536247
60709	0.781229926	0.778147687	0.771536747
60731	0.781232292	0.778156152	0.771537337
60761	0.781232629	0.778189593	0.771540813
60774	0.78124223	0.778192006	0.771540982
60952	0.781242258	0.778199351	0.771541449
61017	0.781248305	0.778200404	0.771541579
61039	0.781251847	0.778205437	0.771566128
61043	0.781288579	0.77822412	0.771575956
61068	0.781293071	0.778228404	0.771576665
61117	0.781507624	0.77822973	0.771577217
61207	0.781603906	0.778230211	0.771578195
61284	0.781604243	0.77824741	0.771578864
61333	0.781609934	0.778292129	0.771586442
61385	0.781611949	0.778292331	0.771586601
61390	0.781613181	0.778293443	0.771588872
61410	0.781613612	0.778293976	0.77158931
61457	0.781614618	0.77829679	0.771589671
61486	0.781614992	0.778296848	0.771589729
61532	0.781620912	0.778297779	0.771590486
61587	0.78162125	0.778373715	0.771590614
61590	0.781635066	0.778374391	0.771593637
61644	0.781640794	0.778388285	0.771594983
61725	0.781641731	0.778402214	0.771596882
61743	0.781641759	0.778405518	0.771601023
61750	0.781642351	0.778423283	0.771601258
61772	0.781643438	0.778538252	0.771606729
61774	0.781644005	0.778544872	0.771607906
61775	0.781645204	0.77873435	0.771609084
61778	0.781679229	0.778739376	0.771640028
61793	0.781687031	0.778747456	0.77164263
61814	0.78168927	0.778762435	0.771672411
62069	0.781689769	0.778775481	0.771702956
62093	0.781690274	0.778800024	0.771703271
62244	0.781721457	0.778801189	0.771731534
62248	0.781730642	0.778815705	0.771731583
62266	0.781753679	0.778817149	0.771744103
62285	0.781755748	0.778818988	0.771744121
